Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
704,Alex Villanueva\c168f022,us USA,DFFW,Seattle,18,2002,0.1,11,12,91.7,175,45,5,6,83.3,6,6,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
705,Sam Vines\2d6e535f,us USA,DF,Colorado Rapids,21,1999,8.0,333,403,82.6,5615,1872,161,180,89.4,143,166,86.1,25,44,56.8,1,0.8,+0.2,9,20,7,4,20,Matches
706,Kai Wagner\fdc715d9,de GER,DF,Philadelphia,23,1997,31.5,1541,1974,78.1,32823,12637,517,578,89.4,714,822,86.9,295,529,55.8,4,4.0,0.0,53,147,52,28,203,Matches
707,Anton Walkes\8a062bba,eng ENG,DF,Atlanta Utd,23,1997,30.8,1553,1749,88.8,32418,9428,495,520,95.2,804,863,93.2,247,343,72.0,1,0.1,+0.9,2,84,1,0,54,Matches
708,Rémi Walter\0984c5d5,fr FRA,MF,Sporting KC,25,1995,21.0,953,1056,90.2,19237,3292,350,379,92.3,423,447,94.6,165,198,83.3,1,0.7,+0.3,12,79,10,4,49,Matches
709,Victor Wanyama\e0900238,ke KEN,MF,CF Montréal,29,1991,26.2,1279,1472,86.9,26474,6293,486,529,91.9,563,620,90.8,225,292,77.1,0,0.7,-0.7,16,159,16,1,130,Matches
710,Collen Warner\75babbce,us USA,MF,Colorado Rapids,32,1988,9.7,366,410,89.3,7396,1733,132,140,94.3,170,180,94.4,60,80,75.0,0,0.9,-0.9,8,36,7,0,40,Matches
711,Taylor Washington\480d3bcc,us USA,DF,Nashville,27,1993,11.5,342,459,74.5,6387,2666,145,162,89.5,145,186,78.0,48,96,50.0,0,1.2,-1.2,13,27,12,10,29,Matches
712,Joel Waterman\47ddcc22,ca CAN,DF,CF Montréal,25,1996,20.6,1113,1249,89.1,22909,7630,378,399,94.7,544,582,93.5,182,246,74.0,2,0.3,+1.7,5,100,10,2,69,Matches
713,Patrick Weah\ae2ee5a5,lr LBR,FW,Minnesota Utd,17,2003,0.2,4,5,80.0,52,17,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,1,0,1,Matches
